Sequence,RES_OCC_SCH,RES_LIGHT_SCH,RES_EQP_SCH
426,0.52,0.616,1
427,0.87,0.829,1
428,0.87,0.986,0.93
429,0.87,1,0.89
430,1,0.692,0.85
431,1,0.384,0.71
432,1,0.16,0.58
433,1,0.067,0.45
434,1,0.067,0.41
435,1,0.067,0.39
436,1,0.067,0.38
437,1,0.187,0.38
438,1,0.394,0.43
439,1,0.44,0.54
440,0.85,0.393,0.65
441,0.39,0.172,0.66
442,0.25,0.119,0.67
443,0.25,0.119,0.69
444,0.25,0.119,0.7
445,0.25,0.119,0.69
446,0.25,0.119,0.66
447,0.25,0.119,0.65
448,0.25,0.206,0.68
449,0.3,0.439,0.8
450,0.52,0.616,1
451,0.87,0.829,1
452,0.87,0.986,0.93
453,0.87,1,0.89
454,1,0.692,0.85
455,1,0.384,0.71
456,1,0.16,0.58
457,1,0.067,0.45
458,1,0.067,0.41
459,1,0.067,0.39
460,1,0.067,0.38
461,1,0.187,0.38
462,1,0.394,0.43
463,1,0.44,0.54
464,0.85,0.393,0.65
465,0.39,0.172,0.66
466,0.25,0.119,0.67
467,0.25,0.119,0.69
468,0.25,0.119,0.7
469,0.25,0.119,0.69
470,0.25,0.119,0.66
471,0.25,0.119,0.65
472,0.25,0.206,0.68
473,0.3,0.439,0.8
474,0.52,0.616,1
475,0.87,0.829,1
476,0.87,0.986,0.93
477,0.87,1,0.89
478,1,0.692,0.85
479,1,0.384,0.71
480,1,0.16,0.58
481,1,0.067,0.45
482,1,0.067,0.41
483,1,0.067,0.39
484,1,0.067,0.38
485,1,0.187,0.38
486,1,0.394,0.43
487,1,0.44,0.54
488,0.85,0.393,0.65
489,0.39,0.172,0.66
490,0.25,0.119,0.67
491,0.25,0.119,0.69
492,0.25,0.119,0.7
493,0.25,0.119,0.69
494,0.25,0.119,0.66
495,0.25,0.119,0.65
496,0.25,0.206,0.68
497,0.3,0.439,0.8
498,0.52,0.616,1
499,0.87,0.829,1
500,0.87,0.986,0.93
501,0.87,1,0.89
502,1,0.692,0.85
503,1,0.384,0.71
504,1,0.16,0.58
505,1,0.067,0.45
506,1,0.067,0.41
507,1,0.067,0.39
508,1,0.067,0.38
509,1,0.187,0.38
510,1,0.394,0.43
511,1,0.44,0.54
512,0.85,0.393,0.65
513,0.39,0.172,0.66
514,0.25,0.119,0.67
515,0.25,0.119,0.69
