Sequence,RES_OCC_SCH,RES_LIGHT_SCH,RES_EQP_SCH
2063,1,0.384,0.71
2064,1,0.16,0.58
2065,1,0.067,0.45
2066,1,0.067,0.41
2067,1,0.067,0.39
2068,1,0.067,0.38
2069,1,0.187,0.38
2070,1,0.394,0.43
2071,1,0.44,0.54
2072,0.85,0.393,0.65
2073,0.39,0.172,0.66
2074,0.25,0.119,0.67
2075,0.25,0.119,0.69
2076,0.25,0.119,0.7
2077,0.25,0.119,0.69
2078,0.25,0.119,0.66
2079,0.25,0.119,0.65
2080,0.25,0.206,0.68
2081,0.3,0.439,0.8
2082,0.52,0.616,1
2083,0.87,0.829,1
2084,0.87,0.986,0.93
2085,0.87,1,0.89
2086,1,0.692,0.85
2087,1,0.384,0.71
2088,1,0.16,0.58
2089,1,0.067,0.45
2090,1,0.067,0.41
2091,1,0.067,0.39
2092,1,0.067,0.38
2093,1,0.187,0.38
2094,1,0.394,0.43
2095,1,0.44,0.54
2096,0.85,0.393,0.65
2097,0.39,0.172,0.66
2098,0.25,0.119,0.67
2099,0.25,0.119,0.69
2100,0.25,0.119,0.7
2101,0.25,0.119,0.69
2102,0.25,0.119,0.66
2103,0.25,0.119,0.65
2104,0.25,0.206,0.68
2105,0.3,0.439,0.8
2106,0.52,0.616,1
2107,0.87,0.829,1
2108,0.87,0.986,0.93
2109,0.87,1,0.89
2110,1,0.692,0.85
2111,1,0.384,0.71
2112,1,0.16,0.58
2113,1,0.067,0.45
2114,1,0.067,0.41
2115,1,0.067,0.39
2116,1,0.067,0.38
2117,1,0.187,0.38
2118,1,0.394,0.43
2119,1,0.44,0.54
2120,0.85,0.393,0.65
2121,0.39,0.172,0.66
2122,0.25,0.119,0.67
2123,0.25,0.119,0.69
2124,0.25,0.119,0.7
2125,0.25,0.119,0.69
2126,0.25,0.119,0.66
2127,0.25,0.119,0.65
2128,0.25,0.206,0.68
2129,0.3,0.439,0.8
2130,0.52,0.616,1
2131,0.87,0.829,1
2132,0.87,0.986,0.93
2133,0.87,1,0.89
2134,1,0.692,0.85
2135,1,0.384,0.71
2136,1,0.16,0.58
2137,1,0.067,0.45
2138,1,0.067,0.41
2139,1,0.067,0.39
2140,1,0.067,0.38
2141,1,0.187,0.38
2142,1,0.394,0.43
2143,1,0.44,0.54
2144,0.85,0.393,0.65
2145,0.39,0.172,0.66
2146,0.25,0.119,0.67
2147,0.25,0.119,0.69
2148,0.25,0.119,0.7
2149,0.25,0.119,0.69
2150,0.25,0.119,0.66
2151,0.25,0.119,0.65
2152,0.25,0.206,0.68
2153,0.3,0.439,0.8
2154,0.52,0.616,1
2155,0.87,0.829,1
2156,0.87,0.986,0.93
2157,0.87,1,0.89
2158,1,0.692,0.85
2159,1,0.384,0.71
2160,1,0.16,0.58
2161,1,0.067,0.45
2162,1,0.067,0.41
2163,1,0.067,0.39
2164,1,0.067,0.38
2165,1,0.187,0.38
2166,1,0.394,0.43
2167,1,0.44,0.54
2168,0.85,0.393,0.65
2169,0.39,0.172,0.66
2170,0.25,0.119,0.67
2171,0.25,0.119,0.69
2172,0.25,0.119,0.7
2173,0.25,0.119,0.69
2174,0.25,0.119,0.66
2175,0.25,0.119,0.65
2176,0.25,0.206,0.68
2177,0.3,0.439,0.8
2178,0.52,0.616,1
2179,0.87,0.829,1
2180,0.87,0.986,0.93
2181,0.87,1,0.89
2182,1,0.692,0.85
2183,1,0.384,0.71
2184,1,0.16,0.58
2185,1,0.067,0.45
2186,1,0.067,0.41
2187,1,0.067,0.39
2188,1,0.067,0.38
2189,1,0.187,0.38
2190,1,0.394,0.43
2191,1,0.44,0.54
2192,0.85,0.393,0.65
2193,0.39,0.172,0.66
2194,0.25,0.119,0.67
2195,0.25,0.119,0.69
2196,0.25,0.119,0.7
2197,0.25,0.119,0.69
2198,0.25,0.119,0.66
2199,0.25,0.119,0.65
2200,0.25,0.206,0.68
2201,0.3,0.439,0.8
2202,0.52,0.616,1
2203,0.87,0.829,1
2204,0.87,0.986,0.93
2205,0.87,1,0.89
2206,1,0.692,0.85
2207,1,0.384,0.71
2208,1,0.16,0.58
2209,1,0.067,0.45
2210,1,0.067,0.41
2211,1,0.067,0.39
2212,1,0.067,0.38
2213,1,0.187,0.38
2214,1,0.394,0.43
2215,1,0.44,0.54
2216,0.85,0.393,0.65
2217,0.39,0.172,0.66
2218,0.25,0.119,0.67
2219,0.25,0.119,0.69
2220,0.25,0.119,0.7
2221,0.25,0.119,0.69
2222,0.25,0.119,0.66
2223,0.25,0.119,0.65
2224,0.25,0.206,0.68
2225,0.3,0.439,0.8
2226,0.52,0.616,1
2227,0.87,0.829,1
2228,0.87,0.986,0.93
2229,0.87,1,0.89
2230,1,0.692,0.85
2231,1,0.384,0.71
2232,1,0.16,0.58
2233,1,0.067,0.45
2234,1,0.067,0.41
2235,1,0.067,0.39
2236,1,0.067,0.38
2237,1,0.187,0.38
2238,1,0.394,0.43
2239,1,0.44,0.54
2240,0.85,0.393,0.65
2241,0.39,0.172,0.66
2242,0.25,0.119,0.67
2243,0.25,0.119,0.69
2244,0.25,0.119,0.7
2245,0.25,0.119,0.69
2246,0.25,0.119,0.66
2247,0.25,0.119,0.65
2248,0.25,0.206,0.68
2249,0.3,0.439,0.8
2250,0.52,0.616,1
2251,0.87,0.829,1
2252,0.87,0.986,0.93
2253,0.87,1,0.89
2254,1,0.692,0.85
2255,1,0.384,0.71
2256,1,0.16,0.58
2257,1,0.067,0.45
2258,1,0.067,0.41
2259,1,0.067,0.39
2260,1,0.067,0.38
2261,1,0.187,0.38
2262,1,0.394,0.43
2263,1,0.44,0.54
2264,0.85,0.393,0.65
2265,0.39,0.172,0.66
2266,0.25,0.119,0.67
2267,0.25,0.119,0.69
2268,0.25,0.119,0.7
2269,0.25,0.119,0.69
2270,0.25,0.119,0.66
2271,0.25,0.119,0.65
2272,0.25,0.206,0.68
2273,0.3,0.439,0.8
2274,0.52,0.616,1
2275,0.87,0.829,1
2276,0.87,0.986,0.93
2277,0.87,1,0.89
2278,1,0.692,0.85
2279,1,0.384,0.71
2280,1,0.16,0.58
2281,1,0.067,0.45
2282,1,0.067,0.41
2283,1,0.067,0.39
2284,1,0.067,0.38
2285,1,0.187,0.38
2286,1,0.394,0.43
2287,1,0.44,0.54
2288,0.85,0.393,0.65
2289,0.39,0.172,0.66
2290,0.25,0.119,0.67
2291,0.25,0.119,0.69
2292,0.25,0.119,0.7
2293,0.25,0.119,0.69
2294,0.25,0.119,0.66
2295,0.25,0.119,0.65
2296,0.25,0.206,0.68
2297,0.3,0.439,0.8
2298,0.52,0.616,1
2299,0.87,0.829,1
2300,0.87,0.986,0.93
2301,0.87,1,0.89
2302,1,0.692,0.85
2303,1,0.384,0.71
2304,1,0.16,0.58
2305,1,0.067,0.45
2306,1,0.067,0.41
2307,1,0.067,0.39
2308,1,0.067,0.38
2309,1,0.187,0.38
2310,1,0.394,0.43
2311,1,0.44,0.54
2312,0.85,0.393,0.65
2313,0.39,0.172,0.66
2314,0.25,0.119,0.67
2315,0.25,0.119,0.69
2316,0.25,0.119,0.7
2317,0.25,0.119,0.69
2318,0.25,0.119,0.66
2319,0.25,0.119,0.65
2320,0.25,0.206,0.68
2321,0.3,0.439,0.8
2322,0.52,0.616,1
2323,0.87,0.829,1
2324,0.87,0.986,0.93
2325,0.87,1,0.89
2326,1,0.692,0.85
2327,1,0.384,0.71
2328,1,0.16,0.58
2329,1,0.067,0.45
2330,1,0.067,0.41
2331,1,0.067,0.39
2332,1,0.067,0.38
2333,1,0.187,0.38
2334,1,0.394,0.43
2335,1,0.44,0.54
2336,0.85,0.393,0.65
2337,0.39,0.172,0.66
2338,0.25,0.119,0.67
2339,0.25,0.119,0.69
2340,0.25,0.119,0.7
2341,0.25,0.119,0.69
2342,0.25,0.119,0.66
2343,0.25,0.119,0.65
2344,0.25,0.206,0.68
2345,0.3,0.439,0.8
2346,0.52,0.616,1
2347,0.87,0.829,1
2348,0.87,0.986,0.93
2349,0.87,1,0.89
2350,1,0.692,0.85
2351,1,0.384,0.71
2352,1,0.16,0.58
2353,1,0.067,0.45
2354,1,0.067,0.41
2355,1,0.067,0.39
2356,1,0.067,0.38
2357,1,0.187,0.38
2358,1,0.394,0.43
2359,1,0.44,0.54
2360,0.85,0.393,0.65
2361,0.39,0.172,0.66
2362,0.25,0.119,0.67
2363,0.25,0.119,0.69
2364,0.25,0.119,0.7
2365,0.25,0.119,0.69
2366,0.25,0.119,0.66
2367,0.25,0.119,0.65
2368,0.25,0.206,0.68
2369,0.3,0.439,0.8
2370,0.52,0.616,1
2371,0.87,0.829,1
2372,0.87,0.986,0.93
2373,0.87,1,0.89
2374,1,0.692,0.85
2375,1,0.384,0.71
2376,1,0.16,0.58
2377,1,0.067,0.45
2378,1,0.067,0.41
2379,1,0.067,0.39
2380,1,0.067,0.38
2381,1,0.187,0.38
2382,1,0.394,0.43
2383,1,0.44,0.54
2384,0.85,0.393,0.65
2385,0.39,0.172,0.66
2386,0.25,0.119,0.67
2387,0.25,0.119,0.69
2388,0.25,0.119,0.7
2389,0.25,0.119,0.69
2390,0.25,0.119,0.66
2391,0.25,0.119,0.65
2392,0.25,0.206,0.68
2393,0.3,0.439,0.8
2394,0.52,0.616,1
2395,0.87,0.829,1
2396,0.87,0.986,0.93
2397,0.87,1,0.89
2398,1,0.692,0.85
2399,1,0.384,0.71
2400,1,0.16,0.58
2401,1,0.067,0.45
2402,1,0.067,0.41
2403,1,0.067,0.39
2404,1,0.067,0.38
2405,1,0.187,0.38
2406,1,0.394,0.43
2407,1,0.44,0.54
2408,0.85,0.393,0.65
2409,0.39,0.172,0.66
2410,0.25,0.119,0.67
2411,0.25,0.119,0.69
2412,0.25,0.119,0.7
2413,0.25,0.119,0.69
2414,0.25,0.119,0.66
2415,0.25,0.119,0.65
2416,0.25,0.206,0.68
2417,0.3,0.439,0.8
2418,0.52,0.616,1
2419,0.87,0.829,1
2420,0.87,0.986,0.93
2421,0.87,1,0.89
2422,1,0.692,0.85
2423,1,0.384,0.71
2424,1,0.16,0.58
2425,1,0.067,0.45
2426,1,0.067,0.41
2427,1,0.067,0.39
2428,1,0.067,0.38
2429,1,0.187,0.38
2430,1,0.394,0.43
2431,1,0.44,0.54
2432,0.85,0.393,0.65
2433,0.39,0.172,0.66
2434,0.25,0.119,0.67
2435,0.25,0.119,0.69
2436,0.25,0.119,0.7
2437,0.25,0.119,0.69
2438,0.25,0.119,0.66
2439,0.25,0.119,0.65
2440,0.25,0.206,0.68
2441,0.3,0.439,0.8
2442,0.52,0.616,1
2443,0.87,0.829,1
2444,0.87,0.986,0.93
2445,0.87,1,0.89
2446,1,0.692,0.85
2447,1,0.384,0.71
2448,1,0.16,0.58
2449,1,0.067,0.45
2450,1,0.067,0.41
2451,1,0.067,0.39
2452,1,0.067,0.38
2453,1,0.187,0.38
2454,1,0.394,0.43
2455,1,0.44,0.54
2456,0.85,0.393,0.65
2457,0.39,0.172,0.66
2458,0.25,0.119,0.67
2459,0.25,0.119,0.69
2460,0.25,0.119,0.7
2461,0.25,0.119,0.69
2462,0.25,0.119,0.66
2463,0.25,0.119,0.65
2464,0.25,0.206,0.68
2465,0.3,0.439,0.8
2466,0.52,0.616,1
2467,0.87,0.829,1
2468,0.87,0.986,0.93
2469,0.87,1,0.89
2470,1,0.692,0.85
2471,1,0.384,0.71
2472,1,0.16,0.58
2473,1,0.067,0.45
2474,1,0.067,0.41
2475,1,0.067,0.39
2476,1,0.067,0.38
2477,1,0.187,0.38
2478,1,0.394,0.43
2479,1,0.44,0.54
2480,0.85,0.393,0.65
2481,0.39,0.172,0.66
2482,0.25,0.119,0.67
2483,0.25,0.119,0.69
2484,0.25,0.119,0.7
2485,0.25,0.119,0.69
2486,0.25,0.119,0.66
2487,0.25,0.119,0.65
2488,0.25,0.206,0.68
2489,0.3,0.439,0.8
2490,0.52,0.616,1
2491,0.87,0.829,1
2492,0.87,0.986,0.93
2493,0.87,1,0.89
2494,1,0.692,0.85
2495,1,0.384,0.71
2496,1,0.16,0.58
2497,1,0.067,0.45
2498,1,0.067,0.41
2499,1,0.067,0.39
2500,1,0.067,0.38
2501,1,0.187,0.38
2502,1,0.394,0.43
2503,1,0.44,0.54
2504,0.85,0.393,0.65
2505,0.39,0.172,0.66
2506,0.25,0.119,0.67
2507,0.25,0.119,0.69
2508,0.25,0.119,0.7
2509,0.25,0.119,0.69
2510,0.25,0.119,0.66
2511,0.25,0.119,0.65
2512,0.25,0.206,0.68
2513,0.3,0.439,0.8
2514,0.52,0.616,1
2515,0.87,0.829,1
2516,0.87,0.986,0.93
2517,0.87,1,0.89
2518,1,0.692,0.85
2519,1,0.384,0.71
2520,1,0.16,0.58
2521,1,0.067,0.45
2522,1,0.067,0.41
2523,1,0.067,0.39
2524,1,0.067,0.38
2525,1,0.187,0.38
2526,1,0.394,0.43
2527,1,0.44,0.54
2528,0.85,0.393,0.65
2529,0.39,0.172,0.66
2530,0.25,0.119,0.67
2531,0.25,0.119,0.69
2532,0.25,0.119,0.7
2533,0.25,0.119,0.69
2534,0.25,0.119,0.66
2535,0.25,0.119,0.65
2536,0.25,0.206,0.68
2537,0.3,0.439,0.8
2538,0.52,0.616,1
2539,0.87,0.829,1
2540,0.87,0.986,0.93
2541,0.87,1,0.89
2542,1,0.692,0.85
2543,1,0.384,0.71
2544,1,0.16,0.58
2545,1,0.067,0.45
2546,1,0.067,0.41
2547,1,0.067,0.39
2548,1,0.067,0.38
2549,1,0.187,0.38
2550,1,0.394,0.43
2551,1,0.44,0.54
2552,0.85,0.393,0.65
2553,0.39,0.172,0.66
2554,0.25,0.119,0.67
2555,0.25,0.119,0.69
2556,0.25,0.119,0.7
2557,0.25,0.119,0.69
2558,0.25,0.119,0.66
2559,0.25,0.119,0.65
2560,0.25,0.206,0.68
2561,0.3,0.439,0.8
2562,0.52,0.616,1
2563,0.87,0.829,1
2564,0.87,0.986,0.93
2565,0.87,1,0.89
2566,1,0.692,0.85
2567,1,0.384,0.71
2568,1,0.16,0.58
2569,1,0.067,0.45
2570,1,0.067,0.41
2571,1,0.067,0.39
2572,1,0.067,0.38
2573,1,0.187,0.38
2574,1,0.394,0.43
2575,1,0.44,0.54
2576,0.85,0.393,0.65
2577,0.39,0.172,0.66
2578,0.25,0.119,0.67
2579,0.25,0.119,0.69
2580,0.25,0.119,0.7
2581,0.25,0.119,0.69
2582,0.25,0.119,0.66
2583,0.25,0.119,0.65
2584,0.25,0.206,0.68
2585,0.3,0.439,0.8
2586,0.52,0.616,1
2587,0.87,0.829,1
2588,0.87,0.986,0.93
2589,0.87,1,0.89
2590,1,0.692,0.85
2591,1,0.384,0.71
2592,1,0.16,0.58
2593,1,0.067,0.45
2594,1,0.067,0.41
2595,1,0.067,0.39
2596,1,0.067,0.38
2597,1,0.187,0.38
2598,1,0.394,0.43
2599,1,0.44,0.54
2600,0.85,0.393,0.65
2601,0.39,0.172,0.66
2602,0.25,0.119,0.67
2603,0.25,0.119,0.69
2604,0.25,0.119,0.7
2605,0.25,0.119,0.69
2606,0.25,0.119,0.66
2607,0.25,0.119,0.65
2608,0.25,0.206,0.68
2609,0.3,0.439,0.8
2610,0.52,0.616,1
2611,0.87,0.829,1
2612,0.87,0.986,0.93
2613,0.87,1,0.89
2614,1,0.692,0.85
2615,1,0.384,0.71
2616,1,0.16,0.58
2617,1,0.067,0.45
2618,1,0.067,0.41
2619,1,0.067,0.39
2620,1,0.067,0.38
2621,1,0.187,0.38
2622,1,0.394,0.43
2623,1,0.44,0.54
2624,0.85,0.393,0.65
2625,0.39,0.172,0.66
2626,0.25,0.119,0.67
2627,0.25,0.119,0.69
2628,0.25,0.119,0.7
2629,0.25,0.119,0.69
2630,0.25,0.119,0.66
2631,0.25,0.119,0.65
2632,0.25,0.206,0.68
2633,0.3,0.439,0.8
2634,0.52,0.616,1
2635,0.87,0.829,1
2636,0.87,0.986,0.93
2637,0.87,1,0.89
2638,1,0.692,0.85
2639,1,0.384,0.71
2640,1,0.16,0.58
2641,1,0.067,0.45
2642,1,0.067,0.41
2643,1,0.067,0.39
2644,1,0.067,0.38
2645,1,0.187,0.38
2646,1,0.394,0.43
2647,1,0.44,0.54
2648,0.85,0.393,0.65
2649,0.39,0.172,0.66
2650,0.25,0.119,0.67
2651,0.25,0.119,0.69
2652,0.25,0.119,0.7
2653,0.25,0.119,0.69
2654,0.25,0.119,0.66
2655,0.25,0.119,0.65
2656,0.25,0.206,0.68
2657,0.3,0.439,0.8
2658,0.52,0.616,1
2659,0.87,0.829,1
2660,0.87,0.986,0.93
2661,0.87,1,0.89
2662,1,0.692,0.85
2663,1,0.384,0.71
2664,1,0.16,0.58
2665,1,0.067,0.45
2666,1,0.067,0.41
2667,1,0.067,0.39
2668,1,0.067,0.38
2669,1,0.187,0.38
2670,1,0.394,0.43
2671,1,0.44,0.54
2672,0.85,0.393,0.65
2673,0.39,0.172,0.66
2674,0.25,0.119,0.67
2675,0.25,0.119,0.69
2676,0.25,0.119,0.7
2677,0.25,0.119,0.69
2678,0.25,0.119,0.66
2679,0.25,0.119,0.65
2680,0.25,0.206,0.68
2681,0.3,0.439,0.8
2682,0.52,0.616,1
2683,0.87,0.829,1
2684,0.87,0.986,0.93
2685,0.87,1,0.89
2686,1,0.692,0.85
2687,1,0.384,0.71
2688,1,0.16,0.58
2689,1,0.067,0.45
2690,1,0.067,0.41
2691,1,0.067,0.39
2692,1,0.067,0.38
2693,1,0.187,0.38
2694,1,0.394,0.43
2695,1,0.44,0.54
2696,0.85,0.393,0.65
2697,0.39,0.172,0.66
2698,0.25,0.119,0.67
2699,0.25,0.119,0.69
2700,0.25,0.119,0.7
2701,0.25,0.119,0.69
2702,0.25,0.119,0.66
2703,0.25,0.119,0.65
2704,0.25,0.206,0.68
2705,0.3,0.439,0.8
2706,0.52,0.616,1
2707,0.87,0.829,1
2708,0.87,0.986,0.93
2709,0.87,1,0.89
2710,1,0.692,0.85
2711,1,0.384,0.71
2712,1,0.16,0.58
2713,1,0.067,0.45
2714,1,0.067,0.41
2715,1,0.067,0.39
2716,1,0.067,0.38
2717,1,0.187,0.38
2718,1,0.394,0.43
2719,1,0.44,0.54
2720,0.85,0.393,0.65
2721,0.39,0.172,0.66
2722,0.25,0.119,0.67
2723,0.25,0.119,0.69
2724,0.25,0.119,0.7
2725,0.25,0.119,0.69
2726,0.25,0.119,0.66
2727,0.25,0.119,0.65
2728,0.25,0.206,0.68
2729,0.3,0.439,0.8
2730,0.52,0.616,1
2731,0.87,0.829,1
2732,0.87,0.986,0.93
2733,0.87,1,0.89
2734,1,0.692,0.85
2735,1,0.384,0.71
2736,1,0.16,0.58
2737,1,0.067,0.45
2738,1,0.067,0.41
2739,1,0.067,0.39
2740,1,0.067,0.38
2741,1,0.187,0.38
2742,1,0.394,0.43
2743,1,0.44,0.54
2744,0.85,0.393,0.65
2745,0.39,0.172,0.66
2746,0.25,0.119,0.67
2747,0.25,0.119,0.69
2748,0.25,0.119,0.7
2749,0.25,0.119,0.69
2750,0.25,0.119,0.66
2751,0.25,0.119,0.65
2752,0.25,0.206,0.68
2753,0.3,0.439,0.8
2754,0.52,0.616,1
2755,0.87,0.829,1
2756,0.87,0.986,0.93
2757,0.87,1,0.89
2758,1,0.692,0.85
2759,1,0.384,0.71
2760,1,0.16,0.58
2761,1,0.067,0.45
2762,1,0.067,0.41
2763,1,0.067,0.39
2764,1,0.067,0.38
2765,1,0.187,0.38
2766,1,0.394,0.43
2767,1,0.44,0.54
2768,0.85,0.393,0.65
2769,0.39,0.172,0.66
2770,0.25,0.119,0.67
2771,0.25,0.119,0.69
2772,0.25,0.119,0.7
2773,0.25,0.119,0.69
2774,0.25,0.119,0.66
2775,0.25,0.119,0.65
2776,0.25,0.206,0.68
2777,0.3,0.439,0.8
2778,0.52,0.616,1
2779,0.87,0.829,1
2780,0.87,0.986,0.93
2781,0.87,1,0.89
2782,1,0.692,0.85
2783,1,0.384,0.71
2784,1,0.16,0.58
2785,1,0.067,0.45
2786,1,0.067,0.41
2787,1,0.067,0.39
2788,1,0.067,0.38
2789,1,0.187,0.38
2790,1,0.394,0.43
2791,1,0.44,0.54
2792,0.85,0.393,0.65
2793,0.39,0.172,0.66
2794,0.25,0.119,0.67
2795,0.25,0.119,0.69
2796,0.25,0.119,0.7
2797,0.25,0.119,0.69
2798,0.25,0.119,0.66
2799,0.25,0.119,0.65
2800,0.25,0.206,0.68
2801,0.3,0.439,0.8
2802,0.52,0.616,1
2803,0.87,0.829,1
2804,0.87,0.986,0.93
2805,0.87,1,0.89
2806,1,0.692,0.85
2807,1,0.384,0.71
2808,1,0.16,0.58
2809,1,0.067,0.45
2810,1,0.067,0.41
2811,1,0.067,0.39
2812,1,0.067,0.38
2813,1,0.187,0.38
2814,1,0.394,0.43
2815,1,0.44,0.54
2816,0.85,0.393,0.65
2817,0.39,0.172,0.66
2818,0.25,0.119,0.67
2819,0.25,0.119,0.69
2820,0.25,0.119,0.7
2821,0.25,0.119,0.69
2822,0.25,0.119,0.66
2823,0.25,0.119,0.65
2824,0.25,0.206,0.68
2825,0.3,0.439,0.8
2826,0.52,0.616,1
2827,0.87,0.829,1
2828,0.87,0.986,0.93
2829,0.87,1,0.89
2830,1,0.692,0.85
2831,1,0.384,0.71
2832,1,0.16,0.58
2833,1,0.067,0.45
2834,1,0.067,0.41
2835,1,0.067,0.39
2836,1,0.067,0.38
2837,1,0.187,0.38
2838,1,0.394,0.43
2839,1,0.44,0.54
2840,0.85,0.393,0.65
2841,0.39,0.172,0.66
2842,0.25,0.119,0.67
2843,0.25,0.119,0.69
2844,0.25,0.119,0.7
2845,0.25,0.119,0.69
2846,0.25,0.119,0.66
2847,0.25,0.119,0.65
2848,0.25,0.206,0.68
2849,0.3,0.439,0.8
2850,0.52,0.616,1
2851,0.87,0.829,1
2852,0.87,0.986,0.93
2853,0.87,1,0.89
2854,1,0.692,0.85
2855,1,0.384,0.71
2856,1,0.16,0.58
2857,1,0.067,0.45
2858,1,0.067,0.41
2859,1,0.067,0.39
2860,1,0.067,0.38
2861,1,0.187,0.38
2862,1,0.394,0.43
2863,1,0.44,0.54
2864,0.85,0.393,0.65
2865,0.39,0.172,0.66
2866,0.25,0.119,0.67
2867,0.25,0.119,0.69
2868,0.25,0.119,0.7
2869,0.25,0.119,0.69
2870,0.25,0.119,0.66
2871,0.25,0.119,0.65
2872,0.25,0.206,0.68
2873,0.3,0.439,0.8
2874,0.52,0.616,1
2875,0.87,0.829,1
2876,0.87,0.986,0.93
2877,0.87,1,0.89
2878,1,0.692,0.85
2879,1,0.384,0.71
2880,1,0.16,0.58
2881,1,0.067,0.45
2882,1,0.067,0.41
2883,1,0.067,0.39
2884,1,0.067,0.38
2885,1,0.187,0.38
2886,1,0.394,0.43
2887,1,0.44,0.54
2888,0.85,0.393,0.65
2889,0.39,0.172,0.66
2890,0.25,0.119,0.67
2891,0.25,0.119,0.69
2892,0.25,0.119,0.7
2893,0.25,0.119,0.69
2894,0.25,0.119,0.66
2895,0.25,0.119,0.65
2896,0.25,0.206,0.68
2897,0.3,0.439,0.8
2898,0.52,0.616,1
2899,0.87,0.829,1
2900,0.87,0.986,0.93
2901,0.87,1,0.89
2902,1,0.692,0.85
2903,1,0.384,0.71
2904,1,0.16,0.58
2905,1,0.067,0.45
2906,1,0.067,0.41
2907,1,0.067,0.39
2908,1,0.067,0.38
2909,1,0.187,0.38
2910,1,0.394,0.43
2911,1,0.44,0.54
2912,0.85,0.393,0.65
2913,0.39,0.172,0.66
2914,0.25,0.119,0.67
2915,0.25,0.119,0.69
2916,0.25,0.119,0.7
2917,0.25,0.119,0.69
2918,0.25,0.119,0.66
2919,0.25,0.119,0.65
2920,0.25,0.206,0.68
2921,0.3,0.439,0.8
2922,0.52,0.616,1
2923,0.87,0.829,1
2924,0.87,0.986,0.93
2925,0.87,1,0.89
2926,1,0.692,0.85
2927,1,0.384,0.71
2928,1,0.16,0.58
2929,1,0.067,0.45
2930,1,0.067,0.41
2931,1,0.067,0.39
2932,1,0.067,0.38
2933,1,0.187,0.38
2934,1,0.394,0.43
2935,1,0.44,0.54
2936,0.85,0.393,0.65
2937,0.39,0.172,0.66
2938,0.25,0.119,0.67
2939,0.25,0.119,0.69
2940,0.25,0.119,0.7
2941,0.25,0.119,0.69
2942,0.25,0.119,0.66
2943,0.25,0.119,0.65
2944,0.25,0.206,0.68
2945,0.3,0.439,0.8
2946,0.52,0.616,1
2947,0.87,0.829,1
2948,0.87,0.986,0.93
2949,0.87,1,0.89
2950,1,0.692,0.85
2951,1,0.384,0.71
2952,1,0.16,0.58
2953,1,0.067,0.45
2954,1,0.067,0.41
2955,1,0.067,0.39
2956,1,0.067,0.38
2957,1,0.187,0.38
2958,1,0.394,0.43
2959,1,0.44,0.54
2960,0.85,0.393,0.65
2961,0.39,0.172,0.66
2962,0.25,0.119,0.67
2963,0.25,0.119,0.69
2964,0.25,0.119,0.7
2965,0.25,0.119,0.69
2966,0.25,0.119,0.66
2967,0.25,0.119,0.65
2968,0.25,0.206,0.68
2969,0.3,0.439,0.8
2970,0.52,0.616,1
2971,0.87,0.829,1
2972,0.87,0.986,0.93
2973,0.87,1,0.89
2974,1,0.692,0.85
2975,1,0.384,0.71
2976,1,0.16,0.58
2977,1,0.067,0.45
2978,1,0.067,0.41
2979,1,0.067,0.39
2980,1,0.067,0.38
2981,1,0.187,0.38
2982,1,0.394,0.43
2983,1,0.44,0.54
2984,0.85,0.393,0.65
2985,0.39,0.172,0.66
2986,0.25,0.119,0.67
2987,0.25,0.119,0.69
2988,0.25,0.119,0.7
2989,0.25,0.119,0.69
2990,0.25,0.119,0.66
2991,0.25,0.119,0.65
2992,0.25,0.206,0.68
2993,0.3,0.439,0.8
2994,0.52,0.616,1
2995,0.87,0.829,1
2996,0.87,0.986,0.93
2997,0.87,1,0.89
2998,1,0.692,0.85
2999,1,0.384,0.71
3000,1,0.16,0.58
3001,1,0.067,0.45
3002,1,0.067,0.41
3003,1,0.067,0.39
3004,1,0.067,0.38
3005,1,0.187,0.38
3006,1,0.394,0.43
3007,1,0.44,0.54
3008,0.85,0.393,0.65
3009,0.39,0.172,0.66
3010,0.25,0.119,0.67
3011,0.25,0.119,0.69
3012,0.25,0.119,0.7
3013,0.25,0.119,0.69
3014,0.25,0.119,0.66
3015,0.25,0.119,0.65
3016,0.25,0.206,0.68
3017,0.3,0.439,0.8
3018,0.52,0.616,1
3019,0.87,0.829,1
3020,0.87,0.986,0.93
3021,0.87,1,0.89
3022,1,0.692,0.85
3023,1,0.384,0.71
3024,1,0.16,0.58
3025,1,0.067,0.45
3026,1,0.067,0.41
3027,1,0.067,0.39
3028,1,0.067,0.38
3029,1,0.187,0.38
3030,1,0.394,0.43
3031,1,0.44,0.54
3032,0.85,0.393,0.65
3033,0.39,0.172,0.66
3034,0.25,0.119,0.67
3035,0.25,0.119,0.69
3036,0.25,0.119,0.7
3037,0.25,0.119,0.69
3038,0.25,0.119,0.66
3039,0.25,0.119,0.65
3040,0.25,0.206,0.68
3041,0.3,0.439,0.8
3042,0.52,0.616,1
3043,0.87,0.829,1
3044,0.87,0.986,0.93
3045,0.87,1,0.89
3046,1,0.692,0.85
3047,1,0.384,0.71
3048,1,0.16,0.58
3049,1,0.067,0.45
3050,1,0.067,0.41
3051,1,0.067,0.39
3052,1,0.067,0.38
3053,1,0.187,0.38
3054,1,0.394,0.43
3055,1,0.44,0.54
3056,0.85,0.393,0.65
3057,0.39,0.172,0.66
3058,0.25,0.119,0.67
3059,0.25,0.119,0.69
3060,0.25,0.119,0.7
3061,0.25,0.119,0.69
3062,0.25,0.119,0.66
3063,0.25,0.119,0.65
3064,0.25,0.206,0.68
